,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,Shelter_PiN_2017,Shelter_Severity_2017
0,Damascus,Damascus,Damascus,1759800.0,651000.0,351960.0,3.0
1,Aleppo,Jebel Saman,Jebel Saman,1333135.0,410900.0,266627.0,3.0
2,Homs,Homs,Homs,721669.0,314358.0,288668.0,4.0
3,Hama,As-Salamiyeh,Oqeirbat,20750.0,1260.0,2075.0,2.0
4,Hama,Hama,Hama,647940.0,130515.0,64794.0,2.0
5,Dar'a,Izra',Tassil,28500.0,7200.0,5700.0,3.0
6,Lattakia,Lattakia,Lattakia,659070.0,350480.0,131814.0,3.0
7,Rural Damascus,Rural Damascus,Jaramana,600000.0,300000.0,240000.0,4.0
8,Idleb,Harim,Dana,342380.0,299710.0,68476.0,3.0
9,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,334490.0,156219.0,133796.0,4.0
10,Rural Damascus,Rural Damascus,Qudsiya,338600.0,125940.0,33860.0,2.0
11,Lattakia,Al-Qardaha,Al-Qardaha,37310.0,2780.0,7462.0,3.0
12,Rural Damascus,At Tall,At Tall,238650.0,196260.0,143190.0,5.0
13,Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,142680.0,54320.0,28536.0,3.0
14,Rural Damascus,Qatana,Qatana,314740.0,175780.0,125896.0,4.0
15,Tartous,Sheikh Badr,Baramanet Elmashayekh,14380.0,3070.0,2876.0,3.0
16,Rural Damascus,Al Qutayfah,Raheiba,35000.0,6872.0,7000.0,3.0
17,Idleb,Idleb,Idleb,120520.0,49850.0,12052.0,2.0
18,As-Sweida,Shahba,Ariqa,10530.0,2030.0,2106.0,3.0
19,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,214010.0,112265.0,42802.0,3.0
20,Aleppo,A'zaz,A'zaz,212975.0,166563.0,85190.0,4.0
21,Rural Damascus,Rural Damascus,Babella,175800.0,27820.0,35160.0,3.0
22,Tartous,Tartous,Tartous,251930.0,90170.0,100772.0,4.0
23,Aleppo,Menbij,Menbij,204048.0,54729.0,20405.0,2.0
24,Dar'a,Dar'a,Dar'a,174400.0,58650.0,69760.0,4.0
25,Rural Damascus,Duma,Duma,195900.0,40720.0,39180.0,3.0
26,Rural Damascus,Rural Damascus,Kisweh,204241.0,73135.0,122545.0,5.0
27,Aleppo,Jebel Saman,Atareb,145350.0,61175.0,29070.0,3.0
28,Rural Damascus,Rural Damascus,Kafr Batna,132040.0,52890.0,26408.0,3.0
29,Al-Hasakeh,Quamishli,Quamishli,251490.0,61826.0,50298.0,3.0
30,Rural Damascus,Duma,Harasta,207000.0,80570.0,41400.0,3.0
31,Idleb,Al Ma'ra,Ma'arrat An Nu'man,148230.0,37450.0,14823.0,2.0
32,Aleppo,Al Bab,Al Bab,60583.0,11139.0,6058.0,2.0
33,Aleppo,Afrin,Afrin,143915.0,55575.0,28783.0,3.0
34,Aleppo,A'zaz,Suran,19765.0,4640.0,1977.0,2.0
35,Hama,As-Salamiyeh,As-Salamiyeh,136670.0,53430.0,27334.0,3.0
36,Deir-ez-Zor,Abu Kamal,Hajin,81000.0,1600.0,8100.0,2.0
37,Dar'a,Izra',Izra',56370.0,23493.0,11274.0,3.0
38,As-Sweida,As-Sweida,As-Sweida,155120.0,26750.0,15512.0,2.0
39,Deir-ez-Zor,Al Mayadin,Al Mayadin,132400.0,47200.0,26480.0,3.0
40,Quneitra,Quneitra,Quneitra,11840.0,10200.0,2368.0,3.0
41,Dar'a,As-Sanamayn,As-Sanamayn,114542.0,34205.0,22908.0,3.0
42,Deir-ez-Zor,Abu Kamal,Abu Kamal,114350.0,17040.0,11435.0,2.0
43,Dar'a,Dar'a,Mzeireb,109600.0,38735.0,21920.0,3.0
44,Tartous,Tartous,Arwad,4400.0,60.0,880.0,3.0
45,Idleb,Al Ma'ra,Kafr Nobol,89000.0,37980.0,8900.0,2.0
46,Deir-ez-Zor,Al Mayadin,Ashara,113400.0,8440.0,11340.0,2.0
47,Idleb,Harim,Salqin,101989.0,63799.0,20398.0,3.0
48,Idleb,Ariha,Ariha,90240.0,20540.0,9024.0,2.0
49,Rural Damascus,Duma,Ghizlaniyyeh,92500.0,50040.0,18500.0,3.0
50,Idleb,Idleb,Maaret Tamsrin,100006.0,49325.0,10001.0,2.0
51,Idleb,Idleb,Saraqab,83400.0,35590.0,8340.0,2.0
